flare_id,flare_class,flare_time,flare_intensity,duration_min,active_region,Kp_max_48h,Dst_min_48h,storm_level,severity,correlation_status,event_name,geomagnetic_response
202104192319,M1.1,2021-04-19 23:42:00,1.1e-05,39.0,2816.0,3.333,-18.0,No Storm,Low,No Significant Response,M1.1 Solar Flare (AR 2816),"No Storm (Kp max: 3.3, Dst min: -18.0 nT)"
202105071843,M3.9,2021-05-07 19:04:00,3.9e-05,35.0,2822.0,1.333,0.0,No Storm,Low,No Significant Response,M3.9 Solar Flare (AR 2822),"No Storm (Kp max: 1.3, Dst min: 0.0 nT)"
202105221703,M1.1,2021-05-22 17:11:00,1.1e-05,12.0,2824.0,2.0,-12.0,No Storm,Low,No Significant Response,M1.1 Solar Flare (AR 2824),"No Storm (Kp max: 2.0, Dst min: -12.0 nT)"
202105222130,M1.4,2021-05-22 21:36:00,1.4e-05,12.0,2824.0,1.333,-12.0,No Storm,Low,No Significant Response,M1.4 Solar Flare (AR 2824),"No Storm (Kp max: 1.3, Dst min: -12.0 nT)"
202105231100,M1.1,2021-05-23 11:08:00,1.1e-05,13.0,2824.0,1.333,-9.0,No Storm,Low,No Significant Response,M1.1 Solar Flare (AR 2824),"No Storm (Kp max: 1.3, Dst min: -9.0 nT)"
202107030704,M2.7,2021-07-03 07:17:00,2.7e-05,17.0,2838.0,2.0,-6.0,No Storm,Low,No Significant Response,M2.7 Solar Flare (AR 2838),"No Storm (Kp max: 2.0, Dst min: -6.0 nT)"
202107031418,X1.5,2021-07-03 14:29:00,0.00015,15.0,2838.0,2.0,-6.0,No Storm,Low,No Significant Response,X1.5 Solar Flare (AR 2838),"No Storm (Kp max: 2.0, Dst min: -6.0 nT)"
202107031659,M1.0,2021-07-03 17:03:00,1e-05,14.0,2838.0,2.0,-6.0,No Storm,Low,No Significant Response,M1.0 Solar Flare (AR 2838),"No Storm (Kp max: 2.0, Dst min: -6.0 nT)"
202107040501,M1.5,2021-07-04 05:09:00,1.5000000000000002e-05,13.0,2838.0,2.667,-18.0,No Storm,Low,No Significant Response,M1.5 Solar Flare (AR 2838),"No Storm (Kp max: 2.7, Dst min: -18.0 nT)"
202108280539,M4.7,2021-08-28 06:11:00,4.7e-05,43.0,2860.0,3.667,-49.0,No Storm,Low,No Significant Response,M4.7 Solar Flare (AR 2860),"No Storm (Kp max: 3.7, Dst min: -49.0 nT)"
202109230435,M2.8,2021-09-23 04:42:00,2.8e-05,14.0,2871.0,3.667,-12.0,No Storm,Low,No Significant Response,M2.8 Solar Flare (AR 2871),"No Storm (Kp max: 3.7, Dst min: -12.0 nT)"
202109231523,M1.8,2021-09-23 15:28:00,1.8e-05,15.0,,3.333,-9.0,No Storm,Low,No Significant Response,M1.8 Solar Flare,"No Storm (Kp max: 3.3, Dst min: -9.0 nT)"
202110090619,M1.6,2021-10-09 06:38:00,1.6000000000000003e-05,33.0,2882.0,4.667,-13.0,No Storm,Low,No Significant Response,M1.6 Solar Flare (AR 2882),"No Storm (Kp max: 4.7, Dst min: -13.0 nT)"
202110260240,M1.3,2021-10-26 02:47:00,1.3e-05,13.0,,2.333,-5.0,No Storm,Low,No Significant Response,M1.3 Solar Flare,"No Storm (Kp max: 2.3, Dst min: -5.0 nT)"
